X,longitude,latitude,lek_id,date,date_prev,date_curr,nnd_to_prev
88,74.4366857417744,27.7999389090529,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,3.319748204423163
89,74.4367631638532,27.8000718020472,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,3.4542877116448385
90,74.4368408957903,27.8000930458456,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,10.251673998996383
91,74.4368767339885,27.8002188035045,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,2.3042187253864763
92,74.4368652211712,27.8004144157877,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,11.526417690518477
93,74.4368409062281,27.8006514698426,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,14.732207757021333
94,74.4367421654456,27.800745883341,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,0.46696071376988946
95,74.43691907492,27.800916347414798,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,0.798087167787494
96,74.4369648225277,27.8007913955196,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,13.82723535027894
97,74.436829160534,27.8010624061576,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,11.256238075429788
98,74.4369631528958,27.8010250334619,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,13.57265456956647
99,74.4365975327007,27.8008108775712,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,0.8211441221938961
100,74.4367151463496,27.8009602463897,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,9.111543042375141
101,74.4365846899576,27.8009862603277,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,4.059662186981142
102,74.4367211187565,27.8010928751311,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,0.3835836727259732
103,74.4365759940166,27.8011027584511,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,12.88602774766452
104,74.4365165056575,27.8006776241099,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,2.4009636712155604
105,74.436650966918,27.8004450035576,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,1.8438340251314305
106,74.4365246714859,27.8005195896487,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,12.255532380776367
107,74.4366182511474,27.8006301410785,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,9.56745704653385
108,74.4367303099731,27.8003064215945,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,2.4508939513557637
109,74.436487262955,27.8003400365568,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,6.6834270050081575
110,74.4367241593879,27.8002102240509,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,10.412957538459157
111,74.4366036970516,27.8001399471847,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,1.4552366934970853
112,74.4364222688814,27.8001480523089,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,10.278341074727402
113,74.4365089871652,27.8000303983732,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,0.6298153876472228
114,74.4364673458803,27.7999276398046,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,1.845838100317011
115,74.4364773470786,27.7997933618142,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,5.8411805218106245
116,74.4363829886789,27.7996312020128,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,0.8932642647928778
117,74.436246987938,27.79931453984,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,0.7637025373067381
118,74.4362287175413,27.7994993621015,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,2.8938830617835016
119,74.4363927208906,27.799407841478,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,2.0175667602495184
120,74.4360499969208,27.799249414446,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,2.018717447524266
121,74.4360069980612,27.7989733294589,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,10.606569919218169
122,74.4359810055025,27.7994568674292,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,0.5242973002845212
123,74.4358718968975,27.7991879135776,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,12.428269969721585
124,74.4358458638793,27.799069246821,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,1.1043024178775078
126,74.4356006191228,27.7991350095958,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,1.2121620233903527
128,74.436340846616,27.800850816038,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,0.3021080682176081
129,74.4363309249439,27.8006870538881,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,2.4492930576558574
130,74.4361583710409,27.8008465319891,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,0.9193641347465518
131,74.4359591293593,27.8007668935346,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,4.348114800344873
132,74.435890688455,27.800969201796,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,10.095296516615988
133,74.4364189564301,27.800467623502,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,2.1253881853252232
134,74.4361738388185,27.8005582623449,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,1.166713516463155
135,74.436294172969,27.8003726306389,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,12.574616445872707
136,74.4362463790079,27.8002360446089,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,4.014586643097763
137,74.4361749523554,27.8004037974822,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,3.656210952112995
138,74.4361581273768,27.8006737139204,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,1.533398707968118
139,74.4363572963899,27.8001009001418,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,2.0183563413315984
140,74.4361903383684,27.8000263603076,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,13.688669978376243
141,74.4363272815399,27.7999939421747,Tal Chhapar,2014-02-01,2012-10-01,2014-02-01,10.717001596467187
