134,74.438514477,27.799136508,282.6225,
135,74.438218795,27.799317065,284.0717,
136,74.438108875,27.798970158,284.4026,
137,74.437507692,27.800238031,285.9935,
138,74.437532786,27.800036020,286.2357,
139,74.438162787,27.799974947,283.8625,
140,74.437897077,27.799932095,285.0753,
141,74.437767856,27.800071146,285.3600,
142,74.437670126,27.800176400,285.5513,
143,74.435756032,27.798931719,289.9760,
144,74.435807224,27.799047356,290.0640,
145,74.435687734,27.799056814,290.0968,
146,74.435557149,27.798554062,289.5555,
147,74.436170053,27.800426091,288.7210,
148,74.436418448,27.800380206,288.4275,
149,74.436566045,27.800494384,287.9551,
151,74.436426591,27.800637516,287.8644,
150,74.436799765,27.800617256,287.1605,
152,74.436710432,27.800281057,288.0759,
153,74.436982271,27.800272264,287.4625,
154,74.437062511,27.800298792,287.2146,
155,74.436892424,27.800396604,287.4546,
156,74.437246678,27.800296617,286.7164,
157,74.437447391,27.800421993,285.8690,
158,74.435745040,27.799938469,289.8741,
159,74.436077457,27.800057226,289.4351,
160,74.435899117,27.800133153,289.5326,
161,74.436157205,27.799928432,289.5178,
162,74.435952161,27.799932100,289.7328,
163,74.435560147,27.800316940,289.3707,
164,74.435750099,27.800261348,289.3908,
165,74.435925624,27.800387500,289.0371,
166,74.436101950,27.800167269,289.2672,
167,74.435661997,27.799682547,290.1223,
168,74.435478182,27.799619737,290.1564,
169,74.435507967,27.799746871,290.1124,
170,74.435678166,27.799762006,290.0269,
171,74.436311470,27.800273809,288.7694,
172,74.436159898,27.798116448,288.2202,
173,74.436433850,27.798134006,287.9266,
174,74.435389878,27.799249494,290.3145,
175,74.435541836,27.799082856,290.1614,
